iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,t_opt,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
0,2.1434130668640137,-4520.318450764569,76.52864007569039,-4361.524330878464,-4717.492990871053,3.4435744285583496,0.0064737834,0.0066258716,-4520.318450764569,12000,0.36834216117858887,1.0000120304773408,0.23398745931208745
1,2.177736282348633,-4449.630668271845,79.89711196606822,-4289.649298824109,-4627.085443916871,3.2578482627868652,0.0050180117,0.0030529634,-4513.249672515297,12000,0.3821415901184082,0.23077237975524276,0.15695592084718182
2,2.2312676906585693,-4399.66494398681,68.84251162975103,-4257.801093536671,-4570.248807984594,3.2616002559661865,0.0049613668,0.0020818685,-4501.891199662448,12000,0.37355995178222656,0.15906356077783212,0.0954716385660631
3,2.1979966163635254,-4332.522966468592,76.4805931987348,-4127.688628202799,-4533.287154399093,3.2692549228668213,0.0043747844,0.0024702745,-4484.954376343063,12000,0.43915438652038574,0.09548374493412348,0.035644510397855725
4,2.2161900997161865,-4337.414883498742,63.939519348667716,-4188.77766375656,-4479.452768786738,3.316891670227051,0.0060103014,0.003646964,-4470.200427058631,12000,0.6854162216186523,0.03532734397937931,0.012390851523398127
5,2.1980490684509277,-4328.2198897674425,77.9493282355007,-4126.453038755221,-4509.595706686925,3.305562734603882,0.0045475755,0.0050591878,-4456.002373329513,12000,0.7075648307800293,0.013742193119053853,0.0077710804160410415
6,2.1993231773376465,-4270.893131675038,61.65910032738377,-4134.445247650525,-4433.667588932997,3.3173580169677734,0.0059022927,0.0062391404,-4437.491449164066,12000,0.7059164047241211,0.007501610279035166,0.004231887553894628
7,2.2190561294555664,-4191.892082697358,57.73205928118478,-4071.8442651830605,-4335.37799671519,3.3454511165618896,0.0047807572,0.005101841,-4412.931512517395,12000,0.7546818256378174,0.0043986399564912146,0.0021426667869230967
8,2.265099048614502,-4138.032615669124,69.6152642084016,-3978.5003643382865,-4268.874921048367,3.280843496322632,0.008271489,0.009211796,-4385.441622832568,12000,0.7787456512451172,0.0024140938239100157,0.0011934718943440838
9,2.151981830596924,-4053.373891139554,57.048831832627975,-3906.064798757601,-4178.692523687904,3.287155866622925,0.008034195,0.013237886,-4352.234849663267,12000,0.8383991718292236,0.0014481929373292791,0.0006270994001382845
10,2.182839870452881,-3959.4365629730914,55.27158986045742,-3837.0749562931314,-4097.870656362165,3.253471612930298,0.012208613,0.021657223,-4312.95502099425,12000,0.8640942573547363,0.0012988900640698196,0.00044182218162502174
11,2.2075047492980957,-3874.631577231927,45.17540005702622,-3795.140060783685,-4020.05249034953,3.238980770111084,0.00983644,0.023099443,-4269.122676618018,12000,0.8442854881286621,0.0008791305921910555,0.00030452936072101176
12,2.1648590564727783,-3797.4204069265047,41.62046449696939,-3736.061840011576,-3909.8860918075206,3.285764694213867,0.015185239,0.033448696,-4221.952449648867,12000,0.8450229167938232,0.0007449368046441961,0.00026515956468343527
13,2.2535760402679443,-3711.1252888767285,37.53526933085398,-3615.0811898057427,-3817.8307645175696,3.274444341659546,0.011799667,0.029768787,-4170.869733571653,12000,0.871222734451294,0.0006766044150219965,0.00024517591285832976
14,2.2607271671295166,-3647.306903409057,28.64902411916661,-3577.6944105798448,-3711.080889497975,3.210113048553467,0.013617321,0.03054399,-4118.513450555394,12000,0.8829536437988281,0.0005448785806675109,0.00017465729377359992
15,2.1765382289886475,-3590.244817492034,35.941764711756285,-3506.1599317103082,-3712.132437008464,3.2891557216644287,0.013945659,0.0283112,-4065.6865872490584,12000,0.8550436496734619,0.0003453256822124838,0.0001837526520004411
16,2.270439624786377,-3535.3816526714495,25.348799514716585,-3484.949290174355,-3580.886087924086,3.282118558883667,0.014931258,0.0263471,-4012.6560937912977,12000,0.8692634105682373,0.000364890911870326,0.00013654580964088115
17,2.6118366718292236,-3499.6269548967202,23.359710459552932,-3452.1757612502465,-3562.267034557818,3.2411978244781494,0.01744388,0.023318056,-3961.35317990184,12000,0.8806900978088379,0.00019475621312861055,0.00011548890495246351
18,2.5879039764404297,-3460.368658023275,19.730071693824723,-3410.332244145988,-3499.4194395788886,3.315239667892456,0.007082903,0.012878272,-3911.254727713984,12000,0.8627541065216064,0.00020029053295104774,0.00010151482571691733
19,2.632279872894287,-3439.8689504117415,15.784797998700817,-3406.8924198324426,-3478.459746238981,3.3302009105682373,0.0077555147,0.011105875,-3864.11614998376,12000,0.852006196975708,0.00013155277114175866,7.986882451396423e-05
20,2.6360039710998535,-3417.752541624436,18.05805906475013,-3374.777708541595,-3471.296815572599,3.277963876724243,0.009761823,0.014164489,-3819.4797891478274,12000,0.8832614421844482,0.00011384485186070704,6.692964371468686e-05
21,2.3254029750823975,-3400.8193338172873,14.525782782418661,-3371.101138926294,-3446.0469315535647,3.2734122276306152,0.0073885936,0.013847754,-3777.6137436147737,12000,0.8849465847015381,5.983862070423668e-05,3.764568148273873e-05
22,2.2169382572174072,-3388.6189110062596,12.095985905765392,-3365.278695905338,-3416.434590534305,3.238647937774658,0.011520376,0.017583428,-3738.7142603539223,12000,0.8906984329223633,4.213086483356706e-05,3.154783623188881e-05
23,2.216022491455078,-3369.305498630851,9.729367042299494,-3348.6135433433537,-3397.519615459886,3.2771694660186768,0.010646771,0.016963767,-3701.7733841816153,12000,0.9522807598114014,5.916419340257399e-05,2.0149665227203566e-05
24,2.2049503326416016,-3362.1954154899227,8.452190452438435,-3346.7410764388014,-3384.063665955193,3.306389093399048,0.008836005,0.0153244445,-3667.815587312446,12000,0.9178509712219238,2.4380053745479865e-05,1.7462006007618e-05
