Iter | Sampling Pol | Evaluation Pol | Best (Sampled) 
   0 -15160.03  0.00 -100000000.00 
   1 -14256.03  0.00 -15160.03 
   2 -13762.78  0.00 -14256.03 
   3 -13285.80  0.00 -13762.78 
   4 -12797.67  0.00 -13285.80 
   5 -12559.62  0.00 -12797.67 
   6 -12191.05  0.00 -12559.62 
   7 -11840.12  0.00 -12191.05 
   8 -11466.05  0.00 -11840.12 
   9 -11017.78  0.00 -11466.05 
  10 -10401.12  0.00 -11017.78 
  11 -10068.47  0.00 -10401.12 
  12 -9696.01  0.00 -10068.47 
  13 -9181.82  0.00 -9696.01 
  14 -8930.05  0.00 -9181.82 
  15 -8610.38  0.00 -8930.05 
  16 -8267.42  0.00 -8610.38 
  17 -7927.94  0.00 -8267.42 
  18 -7690.35  0.00 -7927.94 
  19 -7467.25  0.00 -7690.35 
  20 -7320.91  0.00 -7467.25 
  21 -7193.42  0.00 -7320.91 
  22 -7127.12  0.00 -7193.42 
  23 -7044.26  0.00 -7127.12 
  24 -6965.55  0.00 -7044.26 
  25 -6865.98  0.00 -6965.55 
  26 -6816.33  0.00 -6865.98 
  27 -6769.10  0.00 -6816.33 
  28 -6741.73  0.00 -6769.10 
  29 -6718.14  0.00 -6741.73 
  30 -6696.62  0.00 -6718.14 
  31 -6683.14  0.00 -6696.62 
  32 -6675.74  0.00 -6683.14 
  33 -6665.38  0.00 -6675.74 
  34 -6660.74  0.00 -6665.38 
  35 -6656.18  0.00 -6660.74 
  36 -6652.35  0.00 -6656.18 
  37 -6649.93  0.00 -6652.35 
  38 -6646.81  0.00 -6649.93 
  39 -6646.34  0.00 -6646.81 
  40 -6644.25  0.00 -6646.34 
  41 -6643.13  0.00 -6644.25 
  42 -6643.42  0.00 -6643.13 
  43 -6643.23  0.00 -6643.13 
  44 -6642.93  0.00 -6643.13 
  45 -6641.56  0.00 -6642.93 
  46 -6642.23  0.00 -6641.56 
  47 -6642.85  0.00 -6641.56 
  48 -6641.97  0.00 -6641.56 
  49 -6641.61  0.00 -6641.56 
  50 -6641.40  0.00 -6641.56 
  51 -6641.37  0.00 -6641.40 
  52 -6640.96  0.00 -6641.37 
  53 -6640.89  0.00 -6640.96 
  54 -6641.29  0.00 -6640.89 
  55 -6641.41  0.00 -6640.89 
  56 -6640.91  0.00 -6640.89 
  57 -6640.82  0.00 -6640.89 
  58 -6640.64  0.00 -6640.82 
  59 -6640.92  0.00 -6640.64 
  60 -6640.75  0.00 -6640.64 
  61 -6640.49  0.00 -6640.64 
  62 -6640.56  0.00 -6640.49 
  63 -6640.54  0.00 -6640.49 
  64 -6640.54  0.00 -6640.49 
  65 -6640.65  0.00 -6640.49 
  66 -6640.38  0.00 -6640.49 
  67 -6640.59  0.00 -6640.38 
  68 -6640.54  0.00 -6640.38 
  69 -6640.46  0.00 -6640.38 
  70 -6640.41  0.00 -6640.38 
  71 -6640.40  0.00 -6640.38 
  72 -6640.36  0.00 -6640.38 
  73 -6640.36  0.00 -6640.36 
  74 -6640.36  0.00 -6640.36 
  75 -6640.34  0.00 -6640.36 
  76 -6640.33  0.00 -6640.34 
  77 -6640.30  0.00 -6640.33 
  78 -6640.23  0.00 -6640.30 
  79 -6640.33  0.00 -6640.23 
  80 -6640.28  0.00 -6640.23 
  81 -6640.27  0.00 -6640.23 
  82 -6640.31  0.00 -6640.23 
  83 -6640.24  0.00 -6640.23 
  84 -6640.23  0.00 -6640.23 
  85 -6640.22  0.00 -6640.23 
  86 -6640.29  0.00 -6640.22 
  87 -6640.29  0.00 -6640.22 
  88 -6640.28  0.00 -6640.22 
  89 -6640.24  0.00 -6640.22 
  90 -6640.23  0.00 -6640.22 
  91 -6640.22  0.00 -6640.22 
  92 -6640.23  0.00 -6640.22 
  93 -6640.22  0.00 -6640.22 
  94 -6640.26  0.00 -6640.22 
  95 -6640.22  0.00 -6640.22 
  96 -6640.22  0.00 -6640.22 
  97 -6640.22  0.00 -6640.22 
  98 -6640.24  0.00 -6640.22 
  99 -6640.22  0.00 -6640.22 
 100 -6640.26  0.00 -6640.22 
 101 -6640.22  0.00 -6640.22 
 102 -6640.23  0.00 -6640.22 
 103 -6640.22  0.00 -6640.22 
 104 -6640.22  0.00 -6640.22 
 105 -6640.22  0.00 -6640.22 
 106 -6640.23  0.00 -6640.22 
 107 -6640.22  0.00 -6640.22 
 108 -6640.22  0.00 -6640.22 
 109 -6640.22  0.00 -6640.22 
